environment,workers,tokens,hidden,intermediate,topk,activation_waves,measure,mean_us,median_us,cv_percent,dc_theoretical_max,dc_window_speedup,overlap_realized,status
910B2C-nb,2,17,192,320,1,2,3,679.827,677.680,2.334,1.56934,1.55870,0.988008,PASS
910B2C-nb,2,32,256,512,2,2,3,595.227,597.720,2.490,1.71598,1.70356,0.989815,PASS
910B2C-nb,2,64,1024,1024,4,2,3,1340.887,1337.780,0.927,1.85650,1.84818,0.994746,PASS
910B2C-nb,2,128,2048,1024,2,2,3,1869.173,1872.320,0.682,1.87059,1.86884,0.998929,PASS
910B2C-nb,2,256,16384,128,2,2,3,7025.520,7023.780,0.424,1.89718,1.89575,0.999160,PASS
910B2C-nb,4,17,192,320,1,2,3,732.260,734.100,1.478,1.60349,1.59367,0.989781,PASS
910B2C-nb,4,32,256,512,2,2,3,888.327,891.340,0.630,1.79102,1.78275,0.994132,PASS
910B2C-nb,4,64,1024,1024,4,2,3,3336.367,3342.000,0.457,1.93560,1.93235,0.998204,PASS
910B2C-nb,4,128,2048,1024,8,2,3,8884.047,8923.480,1.309,1.95649,1.95523,0.999329,PASS
910B2C-nb,4,256,16384,128,2,2,3,13306.267,13314.300,0.331,1.93206,1.93128,0.999564,PASS
