data_set,path,input_tokens,status,mean_ms,median_ms,cv_percent,comment
current,serial_shmem,32,FAIL_STARTUP,na,na,na,model load 后 vLLM shared-memory RPC 失联；与 token 容量无关
current,fused_shmem,32,FAIL_STARTUP,na,na,na,model load 后 vLLM shared-memory RPC 失联；与 token 容量无关
current,serial_inc,32,PASS,76.851397,72.956249,9.294292,10 次输出稳定但存在 host 尾延迟
current,fused_inc,32,PASS,68.356375,68.170518,0.852537,当前最优路径
current,serial_shmem,128,FAIL_STARTUP,na,na,na,重复复现同一 lifecycle 故障
current,fused_shmem,128,FAIL_STARTUP,na,na,na,重复复现同一 lifecycle 故障
current,serial_inc,128,PASS,76.191824,75.989496,1.630425,与 fused_inc 同容量同后端
current,fused_inc,128,PASS,69.130366,68.758465,1.134167,与 serial_inc 同容量同后端
current,serial_shmem,512,FAIL_STARTUP,na,na,na,精确 heap 已覆盖容量；故障仍在 lifecycle
current,fused_shmem,512,FAIL_STARTUP,na,na,na,精确 heap 已覆盖容量；故障仍在 lifecycle
current,serial_inc,512,FAIL_STARTUP,na,na,na,两次在 model load 后 RPC 阶段失联
current,fused_inc,512,PASS,81.818722,81.709016,0.274222,当前最优路径
preserved_20260809,serial_shmem,128,PASS,445.322162,445.241269,0.165231,历史正式矩阵；未覆盖
preserved_20260809,fused_shmem,128,PASS,385.258526,385.129642,0.065649,历史正式矩阵；未覆盖
preserved_20260809,serial_inc,128,PASS,505.322397,504.282918,0.304395,历史正式矩阵；未覆盖
preserved_20260809,fused_inc,128,PASS,442.038725,442.139424,0.131789,历史正式矩阵；未覆盖
