suite,path,model,dtype,workers,total_npus,input_tokens,global_capacity,tokens_per_wave,warmup,measure,mean_ms,median_ms,cv_percent,output_stable
best_path_extended,fused_inc,Qwen3-30B-A3B,bf16,2,3,16,1024,64,2,5,70.101101,69.477532,1.349407,true
best_path_extended,fused_inc,Qwen3-30B-A3B,bf16,2,3,64,1024,64,2,5,70.994933,68.881854,6.029120,true
best_path_extended,fused_inc,Qwen3-30B-A3B,bf16,2,3,256,1024,64,2,5,98.123498,98.111223,0.103970,true
best_path_extended,fused_inc,Qwen3-30B-A3B,bf16,2,3,1024,1024,64,2,5,215.492190,214.685686,0.586894,true
best_path_matrix,fused_inc,Qwen3-30B-A3B,bf16,2,3,32,512,64,2,5,68.923142,68.924274,0.154210,true
best_path_matrix,fused_inc,Qwen3-30B-A3B,bf16,2,3,128,512,64,2,5,68.429268,68.458043,0.084844,true
best_path_matrix,fused_inc,Qwen3-30B-A3B,bf16,2,3,512,512,64,2,5,122.536946,122.484647,0.193279,true
best_path_extended,fused_inc,Qwen3-30B-A3B,bf16,4,5,16,1024,64,2,5,73.614237,73.080961,4.063952,true
best_path_extended,fused_inc,Qwen3-30B-A3B,bf16,4,5,64,1024,64,2,5,73.193201,72.658166,3.789593,true
best_path_extended,fused_inc,Qwen3-30B-A3B,bf16,4,5,256,1024,64,2,5,80.878936,80.940757,0.150368,true
best_path_extended,fused_inc,Qwen3-30B-A3B,bf16,4,5,1024,1024,64,2,5,159.041762,159.023330,0.097932,true
best_path_matrix,fused_inc,Qwen3-30B-A3B,bf16,4,5,32,512,64,2,5,72.572644,72.533648,0.318057,true
best_path_matrix,fused_inc,Qwen3-30B-A3B,bf16,4,5,128,512,64,2,5,73.496554,72.515085,3.155701,true
best_path_matrix,fused_inc,Qwen3-30B-A3B,bf16,4,5,512,512,64,2,5,81.818722,81.709016,0.274222,true
best_path_gate,fused_inc,Qwen3-30B-A3B,bf16,4,5,512,512,64,3,12,82.740116,82.109820,1.901801,true
overlap_exact,serial_inc,Qwen3-30B-A3B,bf16,4,5,32,32,8,3,10,76.851397,72.956249,9.294292,true
overlap_exact,fused_inc,Qwen3-30B-A3B,bf16,4,5,32,32,8,3,10,68.356375,68.170518,0.852537,true
overlap_exact,serial_inc,Qwen3-30B-A3B,bf16,4,5,128,128,32,1,3,76.191824,75.989496,1.630425,true
overlap_exact,fused_inc,Qwen3-30B-A3B,bf16,4,5,128,128,32,1,3,69.130366,68.758465,1.134167,true
external_reference,native_vllm_graph,Qwen3-30B-A3B,bf16,4,4,32,512,na,2,5,31.109443,30.433491,5.132471,true
external_reference,native_vllm_graph,Qwen3-30B-A3B,bf16,4,4,128,512,na,2,5,34.278689,34.426820,0.800642,true
external_reference,native_vllm_graph,Qwen3-30B-A3B,bf16,4,4,512,512,na,2,5,62.998350,62.379830,2.500507,true
execution_mode_reference,native_vllm_eager,Qwen3-30B-A3B,bf16,4,4,32,512,na,2,5,71.581671,71.057756,2.461635,true
execution_mode_reference,native_vllm_eager,Qwen3-30B-A3B,bf16,4,4,128,512,na,2,5,68.411490,68.326481,0.261186,true
execution_mode_reference,native_vllm_eager,Qwen3-30B-A3B,bf16,4,4,512,512,na,2,5,69.267671,68.061602,3.569926,true
model_reference,native_vllm_graph,Qwen3-30B-A3B-w8a8,w8a8_dynamic,4,4,32,512,na,1,3,31.154688,30.109029,6.466755,true
model_reference,native_vllm_graph,Qwen3-30B-A3B-w8a8,w8a8_dynamic,4,4,128,512,na,1,3,34.166681,33.894937,2.062732,true
model_reference,native_vllm_graph,Qwen3-30B-A3B-w8a8,w8a8_dynamic,4,4,512,512,na,1,3,77.692525,77.803392,0.483971,true
external_reference_extended,native_vllm_graph,Qwen3-30B-A3B,bf16,2,2,16,1024,na,2,5,36.951061,36.248349,3.882348,true
external_reference_extended,native_vllm_graph,Qwen3-30B-A3B,bf16,2,2,32,1024,na,2,5,33.663444,33.653907,0.422361,true
external_reference_extended,native_vllm_graph,Qwen3-30B-A3B,bf16,2,2,64,1024,na,2,5,35.915606,33.825994,11.967479,true
external_reference_extended,native_vllm_graph,Qwen3-30B-A3B,bf16,2,2,128,1024,na,2,5,43.185093,43.073352,1.750366,true
external_reference_extended,native_vllm_graph,Qwen3-30B-A3B,bf16,2,2,256,1024,na,2,5,46.258821,46.278570,0.933099,true
external_reference_extended,native_vllm_graph,Qwen3-30B-A3B,bf16,2,2,512,1024,na,2,5,62.526872,62.267102,0.810924,true
external_reference_extended,native_vllm_graph,Qwen3-30B-A3B,bf16,2,2,1024,1024,na,2,5,76.983146,77.014413,1.179275,true
external_reference_extended,native_vllm_graph,Qwen3-30B-A3B,bf16,4,4,16,1024,na,2,5,30.657224,29.612761,5.908986,true
external_reference_extended,native_vllm_graph,Qwen3-30B-A3B,bf16,4,4,32,1024,na,2,5,29.297502,29.075291,2.044151,true
external_reference_extended,native_vllm_graph,Qwen3-30B-A3B,bf16,4,4,64,1024,na,2,5,28.985541,29.017501,0.451304,true
external_reference_extended,native_vllm_graph,Qwen3-30B-A3B,bf16,4,4,128,1024,na,2,5,33.401638,33.522394,0.753406,true
