workers,tokens,topk,scalar_mean_us,parallel_mean_us,parallel_speedup,policy,selected_mean_us,selected_vs_scalar,status
2,32,2,75.056,171.184,0.4385,scalar,75.056,1.0000,PASS
2,128,2,114.388,152.736,0.7489,scalar,114.388,1.0000,PASS
2,512,2,241.769,247.725,0.9760,scalar,241.769,1.0000,PASS
2,2048,2,745.518,720.491,1.0347,parallel,720.491,1.0347,PASS
2,8192,2,2770.814,2430.136,1.1402,parallel,2430.136,1.1402,PASS
2,32,8,102.889,172.570,0.5962,scalar,102.889,1.0000,PASS
2,128,8,207.281,169.604,1.2221,parallel,169.604,1.2221,PASS
2,512,8,620.493,321.104,1.9324,parallel,321.104,1.9324,PASS
2,2048,8,2262.295,1015.996,2.2267,parallel,1015.996,2.2267,PASS
2,8192,8,8833.129,3612.172,2.4454,parallel,3612.172,2.4454,PASS
4,32,2,69.408,168.077,0.4130,scalar,69.408,1.0000,PASS
4,128,2,113.281,150.041,0.7550,scalar,113.281,1.0000,PASS
4,512,2,244.278,245.255,0.9960,scalar,244.278,1.0000,PASS
4,2048,2,803.927,717.054,1.1212,parallel,717.054,1.1212,PASS
4,8192,2,2904.870,2479.455,1.1716,parallel,2479.455,1.1716,PASS
4,32,8,106.836,172.867,0.6180,scalar,106.836,1.0000,PASS
4,128,8,226.366,165.447,1.3682,parallel,165.447,1.3682,PASS
4,512,8,695.356,318.619,2.1824,parallel,318.619,2.1824,PASS
4,2048,8,2787.318,1035.322,2.6922,parallel,1035.322,2.6922,PASS
4,8192,8,10193.518,3751.354,2.7173,parallel,3751.354,2.7173,PASS
