workers,tokens,topk,old_mean_us,new_mean_us,speedup,latency_reduction_percent,new_max_cv_percent,status
2,32,2,108.115,75.532,1.4314,30.14,3.906,PASS
2,32,8,137.053,103.288,1.3269,24.64,2.230,PASS
2,128,2,146.160,114.217,1.2797,21.85,1.553,PASS
2,128,8,246.656,207.649,1.1878,15.81,1.440,PASS
2,512,2,305.254,241.866,1.2621,20.77,1.543,PASS
2,512,8,713.994,620.677,1.1503,13.07,1.393,PASS
2,2048,2,1002.960,744.504,1.3472,25.77,1.207,PASS
2,2048,8,2637.230,2267.655,1.1630,14.01,1.300,PASS
2,8192,2,3862.916,2766.191,1.3965,28.39,1.384,PASS
2,8192,8,10367.368,8849.619,1.1715,14.64,1.332,PASS
4,32,2,97.093,70.150,1.3841,27.75,4.529,PASS
4,32,8,137.734,106.737,1.2904,22.50,1.902,PASS
4,128,2,142.911,112.602,1.2692,21.21,2.200,PASS
4,128,8,276.026,226.790,1.2171,17.84,1.346,PASS
4,512,2,312.430,243.329,1.2840,22.12,1.524,PASS
4,512,8,840.841,698.858,1.2032,16.89,4.310,PASS
4,2048,2,1093.589,804.051,1.3601,26.48,1.370,PASS
4,2048,8,3374.489,2778.741,1.2144,17.65,1.523,PASS
4,8192,2,4166.268,2908.239,1.4326,30.20,1.394,PASS
4,8192,8,12641.609,10160.314,1.2442,19.63,1.115,PASS
