run,workers,tokens,topk,experts,tokens_per_wave,measure,mean_us,median_us,min_us,max_us,cv_percent,status_error,error_token,error_ordinal,error_expert,dispatch_rows,assignments
1,2,32,2,64,32,20,107.068,107.590,101.961,110.079,1.885,0,0,0,0,64,64
1,2,128,2,64,128,20,146.068,145.579,142.682,150.077,1.375,0,0,0,0,256,256
1,2,512,2,64,256,20,304.804,304.215,298.861,311.755,1.252,0,0,0,0,1024,1024
1,2,2048,2,64,256,20,1001.596,1001.772,990.022,1014.784,0.737,0,0,0,0,4096,4096
1,2,8192,2,64,256,20,3875.379,3877.565,3807.884,3948.532,0.900,0,0,0,0,16384,16384
1,2,32,8,64,32,20,136.243,136.597,133.567,140.022,1.190,0,0,0,0,64,256
1,2,128,8,64,128,20,246.539,246.795,241.529,252.526,1.051,0,0,0,0,256,1024
1,2,512,8,64,256,20,713.879,713.846,700.638,732.820,1.109,0,0,0,0,1024,4096
1,2,2048,8,64,256,20,2643.929,2645.496,2595.052,2703.246,0.961,0,0,0,0,4096,16384
1,2,8192,8,64,256,20,10377.458,10386.415,10210.704,10639.656,1.105,0,0,0,0,16384,65536
1,4,32,2,64,32,20,94.448,94.624,92.283,100.233,1.726,0,0,0,0,64,64
1,4,128,2,64,128,20,143.434,143.837,139.967,145.525,1.049,0,0,0,0,256,256
1,4,512,2,64,256,20,312.193,312.053,307.295,322.137,1.217,0,0,0,0,1024,1024
1,4,2048,2,64,256,20,1098.056,1098.126,1078.598,1116.086,0.843,0,0,0,0,4096,4096
1,4,8192,2,64,256,20,4168.862,4163.088,4081.473,4313.622,1.374,0,0,0,0,16384,16384
1,4,32,8,64,32,20,137.529,136.780,135.262,141.621,1.453,0,0,0,0,128,256
1,4,128,8,64,128,20,276.844,276.847,272.267,281.997,1.001,0,0,0,0,512,1024
1,4,512,8,64,256,20,841.606,840.807,829.369,860.922,1.026,0,0,0,0,2048,4096
1,4,2048,8,64,256,20,3370.997,3365.194,3314.577,3451.660,1.036,0,0,0,0,8192,16384
1,4,8192,8,64,256,20,12638.175,12644.177,12448.885,12890.186,0.860,0,0,0,0,32768,65536
2,2,32,2,64,32,20,107.767,108.400,102.814,111.874,2.172,0,0,0,0,64,64
2,2,128,2,64,128,20,146.140,146.059,142.694,149.809,1.377,0,0,0,0,256,256
2,2,512,2,64,256,20,307.356,306.215,300.765,317.924,1.328,0,0,0,0,1024,1024
2,2,2048,2,64,256,20,1002.462,1001.295,987.913,1023.713,1.006,0,0,0,0,4096,4096
2,2,8192,2,64,256,20,3860.152,3858.842,3798.615,3962.427,1.000,0,0,0,0,16384,16384
2,2,32,8,64,32,20,137.131,137.091,134.259,140.537,1.168,0,0,0,0,64,256
2,2,128,8,64,128,20,246.073,245.659,241.812,253.942,1.113,0,0,0,0,256,1024
2,2,512,8,64,256,20,713.151,712.421,700.813,731.766,1.051,0,0,0,0,1024,4096
2,2,2048,8,64,256,20,2636.207,2641.389,2595.440,2701.294,1.123,0,0,0,0,4096,16384
2,2,8192,8,64,256,20,10368.138,10391.684,10192.107,10639.124,1.153,0,0,0,0,16384,65536
2,4,32,2,64,32,20,99.969,100.832,91.944,102.878,2.595,0,0,0,0,64,64
2,4,128,2,64,128,20,142.884,142.587,139.102,148.874,1.660,0,0,0,0,256,256
2,4,512,2,64,256,20,312.296,312.697,303.231,318.855,1.243,0,0,0,0,1024,1024
2,4,2048,2,64,256,20,1090.088,1088.681,1074.772,1116.809,0.977,0,0,0,0,4096,4096
2,4,8192,2,64,256,20,4157.398,4156.191,4071.575,4234.754,1.038,0,0,0,0,16384,16384
2,4,32,8,64,32,20,137.480,137.452,135.656,141.770,1.026,0,0,0,0,128,256
2,4,128,8,64,128,20,274.682,274.219,269.555,281.677,1.137,0,0,0,0,512,1024
2,4,512,8,64,256,20,838.147,839.505,826.821,849.817,0.839,0,0,0,0,2048,4096
2,4,2048,8,64,256,20,3368.610,3374.174,3300.995,3453.843,1.212,0,0,0,0,8192,16384
2,4,8192,8,64,256,20,12639.362,12652.237,12442.838,12892.522,0.903,0,0,0,0,32768,65536
3,2,32,2,64,32,20,109.510,109.227,106.677,113.040,1.430,0,0,0,0,64,64
3,2,128,2,64,128,20,146.273,146.091,143.871,150.520,1.180,0,0,0,0,256,256
3,2,512,2,64,256,20,303.601,303.060,299.290,313.044,1.067,0,0,0,0,1024,1024
3,2,2048,2,64,256,20,1004.821,1004.675,987.753,1021.776,0.820,0,0,0,0,4096,4096
3,2,8192,2,64,256,20,3853.218,3861.492,3790.494,3934.976,1.021,0,0,0,0,16384,16384
3,2,32,8,64,32,20,137.785,137.920,133.283,142.679,1.682,0,0,0,0,64,256
3,2,128,8,64,128,20,247.356,246.806,241.488,256.982,1.477,0,0,0,0,256,1024
3,2,512,8,64,256,20,714.951,715.638,700.261,730.120,1.042,0,0,0,0,1024,4096
3,2,2048,8,64,256,20,2631.555,2638.124,2592.996,2672.624,0.897,0,0,0,0,4096,16384
3,2,8192,8,64,256,20,10356.509,10373.000,10199.610,10513.578,0.986,0,0,0,0,16384,65536
3,4,32,2,64,32,20,96.863,95.788,92.689,101.328,3.095,0,0,0,0,64,64
3,4,128,2,64,128,20,142.414,141.762,139.397,146.840,1.476,0,0,0,0,256,256
3,4,512,2,64,256,20,312.801,313.688,305.932,318.632,1.182,0,0,0,0,1024,1024
3,4,2048,2,64,256,20,1092.624,1094.595,1075.920,1108.546,0.850,0,0,0,0,4096,4096
3,4,8192,2,64,256,20,4172.543,4164.986,4101.444,4248.671,0.894,0,0,0,0,16384,16384
3,4,32,8,64,32,20,138.193,137.994,134.990,141.278,1.256,0,0,0,0,128,256
3,4,128,8,64,128,20,276.552,277.111,271.242,282.660,1.122,0,0,0,0,512,1024
3,4,512,8,64,256,20,842.771,842.270,831.448,860.471,0.995,0,0,0,0,2048,4096
3,4,2048,8,64,256,20,3383.861,3385.808,3333.502,3448.889,0.926,0,0,0,0,8192,16384
3,4,8192,8,64,256,20,12647.290,12658.065,12454.204,12891.024,0.825,0,0,0,0,32768,65536
