path,workers,mean_ms,median_ms,cv_percent,output_tokens_per_second
native_vllm,2,69.292512,68.414539,2.956146,14.431574
serial_shmem,2,781.975701,781.469151,0.097416,1.278812
serial_inc,2,838.835223,838.704973,0.071165,1.192129
fused_shmem,2,657.242058,657.831546,0.167263,1.521509
fused_inc,2,686.750401,686.028652,0.148961,1.456133
native_vllm,4,72.370980,70.984513,4.187324,13.817693
serial_shmem,4,445.322162,445.241269,0.165231,2.245565
serial_inc,4,505.322397,504.282918,0.304395,1.978935
fused_shmem,4,385.258526,385.129642,0.065649,2.595660
fused_inc,4,442.038725,442.139424,0.131789,2.262245
