run,workers,iteration,ingress_bytes,e2e_us,bandwidth_gb_s,correct,active_aiv
"w2_run1",2,3,268435456,7099.174,37.8122097021,true,24
"w2_run1",2,4,268435456,7081.917,37.904349345,true,24
"w2_run1",2,5,268435456,7089.141,37.865723929,true,24
"w2_run1",2,6,268435456,7092.485,37.8478708097,true,24
"w2_run1",2,7,268435456,8144.268,32.9600469926,true,24
"w2_run1",2,8,268435456,7084.55,37.8902620491,true,24
"w2_run1",2,9,268435456,7099.568,37.8101112631,true,24
"w2_run1",2,10,268435456,7081.193,37.9082247864,true,24
"w2_run1",2,11,268435456,7092.44,37.8481109463,true,24
"w2_run1",2,12,268435456,7096.561,37.8261324041,true,24
"w2_run2",2,3,268435456,7092.513,37.847721393,true,24
"w2_run2",2,4,268435456,7092.546,37.8475452961,true,24
"w2_run2",2,5,268435456,7091.696,37.8520816459,true,24
"w2_run2",2,6,268435456,7085.094,37.8873528001,true,24
"w2_run2",2,7,268435456,7085.181,37.8868875756,true,24
"w2_run2",2,8,268435456,7082.773,37.8997683534,true,24
"w2_run2",2,9,268435456,7109.57,37.7569186322,true,24
"w2_run2",2,10,268435456,7090.224,37.8599401091,true,24
"w2_run2",2,11,268435456,7101.389,37.8004156652,true,24
"w2_run2",2,12,268435456,7086.084,37.8820595409,true,24
"w4_run1",4,3,536870912,7493.07,71.6489919352,true,24
"w4_run1",4,4,536870912,7466.886,71.9002422161,true,24
"w4_run1",4,5,536870912,7470.362,71.866786643,true,24
"w4_run1",4,6,536870912,7469.193,71.8780344811,true,24
"w4_run1",4,7,536870912,7455.477,72.0102700337,true,24
"w4_run1",4,8,536870912,7490.688,71.6717759437,true,24
"w4_run1",4,9,536870912,7456.342,72.0019162211,true,24
"w4_run1",4,10,536870912,7475.867,71.8138661375,true,24
"w4_run1",4,11,536870912,7474.447,71.8275093796,true,24
"w4_run1",4,12,536870912,7467.948,71.8900174452,true,24
"w4_run2",4,3,536870912,7473.986,71.8319397441,true,24
"w4_run2",4,4,536870912,7476.031,71.812290773,true,24
"w4_run2",4,5,536870912,7477.52,71.7979907777,true,24
"w4_run2",4,6,536870912,7483.541,71.7402245809,true,24
"w4_run2",4,7,536870912,7469.789,71.8722994719,true,24
"w4_run2",4,8,536870912,7475.519,71.8172092132,true,24
"w4_run2",4,9,536870912,7487.826,71.69917036,true,24
"w4_run2",4,10,536870912,7474.352,71.8284223167,true,24
"w4_run2",4,11,536870912,7473.621,71.835447904,true,24
"w4_run2",4,12,536870912,7509.007,71.4969252259,true,24
