case,workers,first_npu,rows,hidden,topk,mode,route,seed,warmup,measure,delay_ms,correct,minimum_gb_s,mean_gb_s,cv_percent,mean_us
dispatch_w2_k2_seed17,2,0,"8192,8192",8192,2,dispatch,random_expert,17,3,10,0,True,34.1377,34.2488,0.212893,11800.7
combine_w2_k2_seed17,2,0,"8192,8192",8192,2,combine,random_expert,17,3,10,0,True,38.4794,38.5857,0.190232,20948.6
dispatch_w2_k2_seed101,2,0,"8192,8192",8192,2,dispatch,random_expert,101,3,10,0,True,34.1142,34.2184,0.196802,11811.2
combine_w2_k2_seed101,2,0,"8192,8192",8192,2,combine,random_expert,101,3,10,0,True,38.5708,38.6494,0.125413,20914.1
dispatch_w2_k2_seed2027,2,0,"8192,8192",8192,2,dispatch,random_expert,2027,3,10,0,True,34.0785,34.2132,0.247118,11812.9
combine_w2_k2_seed2027,2,0,"8192,8192",8192,2,combine,random_expert,2027,3,10,0,True,38.4431,38.5861,0.194286,20948.4
dispatch_w4_k2_seed17,4,0,"8192,8192,8192,8192",8192,2,dispatch,random_expert,17,3,10,0,True,63.0734,63.3265,0.241961,14926
combine_w4_k2_seed17,4,0,"8192,8192,8192,8192",8192,2,combine,random_expert,17,3,10,0,True,71.0927,71.2628,0.187641,26527.4
dispatch_w4_k2_seed101,4,0,"8192,8192,8192,8192",8192,2,dispatch,random_expert,101,3,10,0,True,62.8594,63.2424,0.443691,14946.1
combine_w4_k2_seed101,4,0,"8192,8192,8192,8192",8192,2,combine,random_expert,101,3,10,0,True,70.942,71.2694,0.18793,26524.9
dispatch_w4_k2_seed2027,4,0,"8192,8192,8192,8192",8192,2,dispatch,random_expert,2027,3,10,0,True,63.0198,63.2851,0.28774,14935.8
combine_w4_k2_seed2027,4,0,"8192,8192,8192,8192",8192,2,combine,random_expert,2027,3,10,0,True,71.0193,71.3834,0.290652,26482.7
dispatch_w4_k4_seed17,4,0,"8192,8192,8192,8192",8192,4,dispatch,random_expert,17,3,10,0,True,66.4925,66.6616,0.198344,22352.4
combine_w4_k4_seed17,4,0,"8192,8192,8192,8192",8192,4,combine,random_expert,17,3,10,0,True,72.1765,72.3453,0.155408,41192.5
dispatch_w4_k4_seed101,4,0,"8192,8192,8192,8192",8192,4,dispatch,random_expert,101,3,10,0,True,66.2912,66.563,0.199707,22385.5
combine_w4_k4_seed101,4,0,"8192,8192,8192,8192",8192,4,combine,random_expert,101,3,10,0,True,72.0927,72.2483,0.189346,41247.9
dispatch_w4_k4_seed2027,4,0,"8192,8192,8192,8192",8192,4,dispatch,random_expert,2027,3,10,0,True,66.5161,66.6608,0.144796,22352.6
combine_w4_k4_seed2027,4,0,"8192,8192,8192,8192",8192,4,combine,random_expert,2027,3,10,0,True,71.9994,72.2652,0.211978,41238.3
random_chain_ragged,4,0,"8192,0,4097,1023",8192,4,chain,random_expert,17,0,10,0,True,,,,788507
