case,workers,first_npu,rows,hidden,topk,mode,route,seed,warmup,measure,delay_ms,correct,minimum_gb_s,mean_gb_s,cv_percent,mean_us
dispatch_w2_k2_seed17,2,0,"8192,8192",8192,2,dispatch,random_expert,17,3,10,0,True,33.4629,33.5463,0.134543,12047.7
combine_w2_k2_seed17,2,0,"8192,8192",8192,2,combine,random_expert,17,3,10,0,True,34.0947,34.1994,0.209372,23635.5
dispatch_w2_k2_seed101,2,0,"8192,8192",8192,2,dispatch,random_expert,101,3,10,0,True,33.4486,33.5687,0.168176,12039.7
combine_w2_k2_seed101,2,0,"8192,8192",8192,2,combine,random_expert,101,3,10,0,True,34.0609,34.2068,0.189433,23630.3
dispatch_w2_k2_seed2027,2,0,"8192,8192",8192,2,dispatch,random_expert,2027,3,10,0,True,33.4017,33.5588,0.261002,12043.3
combine_w2_k2_seed2027,2,0,"8192,8192",8192,2,combine,random_expert,2027,3,10,0,True,34.0486,34.1897,0.20476,23642.2
dispatch_w4_k2_seed17,4,0,"8192,8192,8192,8192",8192,2,dispatch,random_expert,17,3,10,0,True,61.2195,61.4455,0.247661,15382.9
combine_w4_k2_seed17,4,0,"8192,8192,8192,8192",8192,2,combine,random_expert,17,3,10,0,True,63.8547,64.1548,0.220038,29466.5
dispatch_w4_k2_seed101,4,0,"8192,8192,8192,8192",8192,2,dispatch,random_expert,101,3,10,0,True,61.2898,61.4738,0.205425,15375.8
combine_w4_k2_seed101,4,0,"8192,8192,8192,8192",8192,2,combine,random_expert,101,3,10,0,True,64.0537,64.2359,0.207987,29429.3
dispatch_w4_k2_seed2027,4,0,"8192,8192,8192,8192",8192,2,dispatch,random_expert,2027,3,10,0,True,61.2219,61.4464,0.237558,15382.6
combine_w4_k2_seed2027,4,0,"8192,8192,8192,8192",8192,2,combine,random_expert,2027,3,10,0,True,63.9396,64.166,0.221874,29461.4
dispatch_w4_k4_seed17,4,0,"8192,8192,8192,8192",8192,4,dispatch,random_expert,17,3,10,0,True,64.5816,64.7448,0.250045,23014.2
combine_w4_k4_seed17,4,0,"8192,8192,8192,8192",8192,4,combine,random_expert,17,3,10,0,True,67.1482,67.2893,0.16746,44287.7
dispatch_w4_k4_seed101,4,0,"8192,8192,8192,8192",8192,4,dispatch,random_expert,101,3,10,0,True,64.527,64.6885,0.175792,23034.1
combine_w4_k4_seed101,4,0,"8192,8192,8192,8192",8192,4,combine,random_expert,101,3,10,0,True,67.1019,67.2677,0.108198,44301.8
dispatch_w4_k4_seed2027,4,0,"8192,8192,8192,8192",8192,4,dispatch,random_expert,2027,3,10,0,True,64.4952,64.7028,0.179381,23029.1
combine_w4_k4_seed2027,4,0,"8192,8192,8192,8192",8192,4,combine,random_expert,2027,3,10,0,True,67.1636,67.2806,0.112936,44293.3
random_chain_ragged,4,0,"8192,0,4097,1023",8192,4,chain,random_expert,17,0,10,0,True,,,,816921
