operator,run,case,first_npu,workers,route,seed,iteration,warmup,ingress_bytes,egress_bytes,complete_us,directional_gb_s,status,correct
D,global_random,w2_random_expert_k2_s104729,0,2,random_expert_k2,104729,0,True,268435456,403996672,12492.961,32.337943903,0,True
D,global_random,w2_random_expert_k2_s104729,0,2,random_expert_k2,104729,1,False,268435456,403996672,12240.63,33.0045652879,0,True
D,global_random,w2_random_expert_k2_s104729,0,2,random_expert_k2,104729,2,False,268435456,403996672,12238.202,33.0111132338,0,True
D,global_random,w2_random_expert_k2_s104729,0,2,random_expert_k2,104729,3,False,268435456,403996672,12233.971,33.0225298066,0,True
D,global_random,w2_random_expert_k2_s17,0,2,random_expert_k2,17,0,True,268435456,405372928,12440.754,32.5842732683,0,True
D,global_random,w2_random_expert_k2_s17,0,2,random_expert_k2,17,1,False,268435456,405372928,12256.348,33.0745282363,0,True
D,global_random,w2_random_expert_k2_s17,0,2,random_expert_k2,17,2,False,268435456,405372928,12287.221,32.9914248307,0,True
D,global_random,w2_random_expert_k2_s17,0,2,random_expert_k2,17,3,False,268435456,405372928,12218.499,33.176982541,0,True
D,global_random,w2_random_expert_k4_s104729,0,2,random_expert_k4,104729,0,True,268435456,506642432,14968.364,33.8475488704,0,True
D,global_random,w2_random_expert_k4_s104729,0,2,random_expert_k4,104729,1,False,268435456,506642432,14662.971,34.5525086287,0,True
D,global_random,w2_random_expert_k4_s104729,0,2,random_expert_k4,104729,2,False,268435456,506642432,14681.622,34.5086143752,0,True
D,global_random,w2_random_expert_k4_s104729,0,2,random_expert_k4,104729,3,False,268435456,506642432,14658.113,34.5639600404,0,True
D,global_random,w2_random_expert_k4_s17,0,2,random_expert_k4,17,0,True,268435456,505511936,14871.031,33.9930658473,0,True
D,global_random,w2_random_expert_k4_s17,0,2,random_expert_k4,17,1,False,268435456,505511936,14661.161,34.4796661056,0,True
D,global_random,w2_random_expert_k4_s17,0,2,random_expert_k4,17,2,False,268435456,505511936,14706.329,34.3737676479,0,True
D,global_random,w2_random_expert_k4_s17,0,2,random_expert_k4,17,3,False,268435456,505511936,14668.82,34.4616633103,0,True
D,global_random,w4_random_expert_k2_s104729,0,4,random_expert_k2,104729,0,True,536870912,946700288,15761.403,60.0644681187,0,True
D,global_random,w4_random_expert_k2_s104729,0,4,random_expert_k2,104729,1,False,536870912,946700288,15630.115,60.5689905672,0,True
D,global_random,w4_random_expert_k2_s104729,0,4,random_expert_k2,104729,2,False,536870912,946700288,15655.213,60.4718880542,0,True
D,global_random,w4_random_expert_k2_s104729,0,4,random_expert_k2,104729,3,False,536870912,946700288,15565.213,60.8215440418,0,True
