operator,run,case,first_npu,workers,route,seed,warmup,measure,minimum_gb_s,mean_gb_s,cv_percent,ingress_bytes,egress_bytes,fanout_mean,all_correct,raw_log
D,global_random,w2_random_expert_k2_s104729,0,2,random_expert_k2,104729,1,3,33.004565,33.012736,0.022486,268435456,403996672,1.505005,True,/tmp/random-best-global-final-20260910/w2_random_expert_k2_s104729/logs/pe2.log
D,global_random,w2_random_expert_k2_s17,0,2,random_expert_k2,17,1,3,32.991425,33.080979,0.229409,268435456,405372928,1.510132,True,/tmp/random-best-global-final-20260910/w2_random_expert_k2_s17/logs/pe2.log
D,global_random,w2_random_expert_k4_s104729,0,2,random_expert_k4,104729,1,3,34.508614,34.541694,0.069058,268435456,506642432,1.887390,True,/tmp/random-best-global-final-20260910/w2_random_expert_k4_s104729/logs/pe2.log
D,global_random,w2_random_expert_k4_s17,0,2,random_expert_k4,17,1,3,34.373768,34.438366,0.134342,268435456,505511936,1.883179,True,/tmp/random-best-global-final-20260910/w2_random_expert_k4_s17/logs/pe2.log
D,global_random,w4_random_expert_k2_s104729,0,4,random_expert_k2,104729,1,3,60.471888,60.620808,0.243108,536870912,946700288,1.763367,True,/tmp/random-best-global-final-20260910/w4_random_expert_k2_s104729/logs/pe4.log
D,global_random,w4_random_expert_k2_s17,0,4,random_expert_k2,17,1,3,60.553106,60.682124,0.153681,536870912,947126272,1.764160,True,/tmp/random-best-global-final-20260910/w4_random_expert_k2_s17/logs/pe4.log
D,global_random,w4_random_expert_k4_s104729,0,4,random_expert_k4,104729,1,3,63.803042,63.954963,0.179179,536870912,1488912384,2.773315,True,/tmp/random-best-global-final-20260910/w4_random_expert_k4_s104729/logs/pe4.log
D,global_random,w4_random_expert_k4_s17,0,4,random_expert_k4,17,1,3,63.792413,63.899885,0.171575,536870912,1487962112,2.771545,True,/tmp/random-best-global-final-20260910/w4_random_expert_k4_s17/logs/pe4.log
D,isolated_plane,p0_random_k2_gpu2,0,4,random_k2_gpu2,20260909,3,5,61.453435,61.658860,0.217154,536870912,1073741824,2.000000,True,/tmp/random-best-plane-isolation-20260910/p0_random_k2_gpu2/logs/pe4.log
D,isolated_plane,p0_sym_k2_balanced,0,4,sym_k2_balanced,20260909,3,5,69.283589,69.752227,0.494761,536870912,1073741824,2.000000,True,/tmp/random-best-plane-isolation-20260910/p0_sym_k2_balanced/logs/pe4.log
D,isolated_plane,p8_random_k2_gpu2,8,4,random_k2_gpu2,20260909,3,5,53.621097,53.912146,0.500532,536870912,1073741824,2.000000,True,/tmp/random-best-plane-isolation-20260910/p8_random_k2_gpu2/logs/pe4.log
D,isolated_plane,p8_sym_k2_balanced,8,4,sym_k2_balanced,20260909,3,5,54.440278,54.811828,0.381647,536870912,1073741824,2.000000,True,/tmp/random-best-plane-isolation-20260910/p8_sym_k2_balanced/logs/pe4.log
D,plane_b_formal,w2_random_k2_gpu2,8,2,random_k2_gpu2,20260909,3,10,37.954489,38.014595,0.064642,268435456,536870912,2.000000,True,/tmp/random-best-fixed-final-20260910/w2_random_k2_gpu2/logs/pe2.log
D,plane_b_formal,w4_random_k2_gpu2,8,4,random_k2_gpu2,20260909,3,10,53.094543,53.791958,0.839802,536870912,1073741824,2.000000,True,/tmp/random-best-fixed-final-20260910/w4_random_k2_gpu2/logs/pe4.log
D,plane_b_formal,w4_random_k4_gpu2,8,4,random_k4_gpu2,20260909,3,10,52.645774,53.257146,0.647686,536870912,1073741824,2.000000,True,/tmp/random-best-fixed-final-20260910/w4_random_k4_gpu2/logs/pe4.log
D,plane_b_formal,w4_random_k4_gpu4,8,4,random_k4_gpu4,20260909,3,10,53.865891,61.696896,7.422475,536870912,2147483648,4.000000,True,/tmp/random-best-fixed-final-20260910/w4_random_k4_gpu4/logs/pe4.log
D,plane_b_formal,w4_random_k8_gpu4,8,4,random_k8_gpu4,20260909,3,10,52.889444,58.756955,5.380461,536870912,2147483648,4.000000,True,/tmp/random-best-fixed-final-20260910/w4_random_k8_gpu4/logs/pe4.log
C,combine_formal,w2_random_k2,8,2,random_k2,17,3,10,38.942457,39.024053,0.166124,268435456,134217728,,True,/tmp/random-combine-128m-v14/w2_random_k2/logs/pe2.log
C,combine_formal,w4_mixed_k,8,4,mixed_k,17,3,10,68.619297,68.797263,0.233390,540082176,268435456,,True,/tmp/random-combine-128m-v14/w4_mixed_k/logs/pe4.log
C,combine_formal,w4_random_k2,8,4,random_k2,17,3,10,68.952171,69.268022,0.373551,536870912,268435456,,True,/tmp/random-combine-128m-v14/w4_random_k2/logs/pe4.log
C,combine_formal,w4_sym_k4_gpu4,8,4,sym_k4_gpu4,17,3,10,78.495350,78.885138,0.237985,536870912,134217728,,True,/tmp/random-combine-128m-v14/w4_sym_k4_gpu4/logs/pe4.log
